Techs,tech-billable hours per week,Billable Hours Per week,avg Tech rate,Annual Rev Proj.,Project Hours - YTD
4,40,8320,96,798720,1131
5,40,10400,96,998400,1131
6,40,12480,96,1198080,1131
7,40,14560,96,1397760,1131
8,40,16640,96,1597440,1131
9,40,18720,96,1797120,1131
10,40,20800,96,1996800,1131
11,40,22880,96,2196480,1131
12,40,24960,96,2396160,1131
13,40,27040,96,2595840,1131
14,40,29120,96,2795520,1131
15,40,31200,96,2995200,1131
16,40,33280,96,3194880,1131
17,40,35360,96,3394560,1131
18,40,37440,96,3594240,1131
19,40,39520,96,3793920,1131
20,40,41600,96,3993600,1131